name,slug, deaths/1,000 live births,date_of_information,ranking,region
"Gaza Strip","gaza-strip","14.2","2025",95,"Middle East"
"West Bank","west-bank","14.2","2025",96,"Middle East"
"Nicaragua","nicaragua","14.1","2025",97,"Central America and the Caribbean"
"Vietnam","vietnam","13.8","2025",98,"East and Southeast Asia"
"Oman","oman","13.6","2025",99,"Middle East"
"Venezuela","venezuela","13.6","2025",100,"South America"
"Moldova","moldova","13.5","2025",101,"Europe"
"Vanuatu","vanuatu","13.4","2025",102,"Australia and Oceania"
"Antigua and Barbuda","antigua-and-barbuda","13.3","2025",103,"Central America and the Caribbean"
"Panama","panama","13.2","2025",104,"Central America and the Caribbean"
"British Virgin Islands","british-virgin-islands","13","2025",105,"Central America and the Caribbean"
"Jordan","jordan","12.9","2025",106,"Middle East"
"Brazil","brazil","12.7","2025",107,"South America"
"Mexico","mexico","12.3","2025",108,"North America"
"Saint Vincent and the Grenadines","saint-vincent-and-the-grenadines","12","2025",109,"Central America and the Caribbean"
"Northern Mariana Islands","northern-mariana-islands","11.6","2025",110,"Australia and Oceania"
"Colombia","colombia","11.6","2025",111,"South America"
"Tonga","tonga","11.5","2025",112,"Australia and Oceania"
"Saudi Arabia","saudi-arabia","11.4","2025",113,"Middle East"
"Mauritius","mauritius","11.4","2025",114,"Africa"
"Saint Lucia","saint-lucia","11.3","2025",115,"Central America and the Caribbean"
"Armenia","armenia","11.3","2025",116,"Central Asia"
"Belize","belize","11.3","2025",117,"Central America and the Caribbean"
"Aruba","aruba","11.2","2025",118,"Central America and the Caribbean"
"Ecuador","ecuador","11.2","2025",119,"South America"
"Turks and Caicos Islands","turks-and-caicos-islands","10.8","2025",120,"Central America and the Caribbean"
"Albania","albania","10.8","2025",121,"Europe"
"Azerbaijan","azerbaijan","10.7","2025",122,"Central Asia"
"Guam","guam","10.7","2025",123,"Australia and Oceania"
"Tunisia","tunisia","10.6","2025",124,"Africa"
"Peru","peru","10.6","2025",125,"South America"
"Palau","palau","10.6","2025",126,"Australia and Oceania"
"Dominica","dominica","10.5","2025",127,"Central America and the Caribbean"
"Libya","libya","10.4","2025",128,"Africa"
"Seychelles","seychelles","10","2025",129,"Africa"
"El Salvador","el-salvador","10","2025",130,"Central America and the Caribbean"
"Brunei","brunei","9.8","2025",131,"East and Southeast Asia"
"Iran","iran","9.7","2025",132,"Middle East"
"Bahrain","bahrain","9.6","2025",133,"Middle East"
"American Samoa","american-samoa","9.5","2025",134,"Australia and Oceania"
"Fiji","fiji","9.4","2025",135,"Australia and Oceania"
"Montserrat","montserrat","9.4","2025",136,"Central America and the Caribbean"
"Bahamas, The","bahamas-the","9.2","2025",137,"Central America and the Caribbean"
"Grenada","grenada","8.8","2025",138,"Central America and the Caribbean"
"Mongolia","mongolia","8.6","2025",139,"East and Southeast Asia"
"Ukraine","ukraine","8.4","2025",140,"Europe"
"Greenland","greenland","8.3","2025",141,"North America"
"Cyprus","cyprus","7.9","2025",142,"Europe"
"Kazakhstan","kazakhstan","7.9","2025",143,"Central Asia"
"Saint Kitts and Nevis","saint-kitts-and-nevis","7.9","2025",144,"Central America and the Caribbean"
"Saint Pierre and Miquelon","saint-pierre-and-miquelon","7.6","2025",145,"North America"
"Sint Maarten","sint-maarten","7.5","2025",146,"Central America and the Caribbean"
"Bulgaria","bulgaria","7.5","2025",147,"Europe"
"Nauru","nauru","7.5","2025",148,"Australia and Oceania"
"Curacao","curacao","7.4","2025",149,"Central America and the Caribbean"
"Argentina","argentina","7.4","2025",150,"South America"
"Lebanon","lebanon","7.3","2025",151,"Middle East"
"Virgin Islands","virgin-islands","7.2","2025",152,"Central America and the Caribbean"
"Cayman Islands","cayman-islands","7.1","2025",153,"Central America and the Caribbean"
"Kuwait","kuwait","7","2025",154,"Middle East"
"Uruguay","uruguay","6.9","2025",155,"South America"
"North Macedonia","north-macedonia","6.8","2025",156,"Europe"
"Sri Lanka","sri-lanka","6.8","2025",157,"South Asia"
"Russia","russia","6.4","2025",158,"Central Asia"
"Costa Rica","costa-rica","6.3","2025",159,"Central America and the Caribbean"
"Saint Martin","saint-martin","6.3","2025",160,"Central America and the Caribbean"
"Malaysia","malaysia","6.3","2025",161,"East and Southeast Asia"
"Saint Barthelemy","saint-barthelemy","6.3","2025",162,"Central America and the Caribbean"
"Thailand","thailand","6.2","2025",163,"East and Southeast Asia"
"Qatar","qatar","6.2","2025",164,"Middle East"
"San Marino","san-marino","6.1","2025",165,"Europe"
"China","china","6","2025",166,"East and Southeast Asia"
"Gibraltar","gibraltar","5.9","2025",167,"Europe"
"Puerto Rico","puerto-rico","5.7","2025",168,"Central America and the Caribbean"
"Faroe Islands","faroe-islands","5.6","2025",169,"Europe"
"Romania","romania","5.3","2025",170,"Europe"
"Cuba","cuba","5.2","2025",171,"Central America and the Caribbean"
"United States","united-states","5","2025",172,"North America"
"Slovakia","slovakia","5","2025",173,"Europe"
"United Arab Emirates","united-arab-emirates","4.9","2025",174,"Middle East"
"New Caledonia","new-caledonia","4.8","2025",175,"Australia and Oceania"
"Poland","poland","4.6","2025",176,"Europe"
"Malta","malta","4.6","2025",177,"Europe"
"Hungary","hungary","4.6","2025",178,"Europe"
"Chile","chile","4.5","2025",179,"South America"
"Serbia","serbia","4.4","2025",180,"Europe"
"Macau","macau","4.3","2025",181,"East and Southeast Asia"
"French Polynesia","french-polynesia","4.2","2025",182,"Australia and Oceania"
"Isle of Man","isle-of-man","4","2025",183,"Europe"
"Wallis and Futuna","wallis-and-futuna","3.8","2025",184,"Australia and Oceania"
"Canada","canada","3.8","2025",185,"North America"
"Bosnia and Herzegovina","bosnia-and-herzegovina","3.8","2025",186,"Europe"
"Taiwan","taiwan","3.8","2025",187,"East and Southeast Asia"
"Liechtenstein","liechtenstein","3.8","2025",188,"Europe"
"Jersey","jersey","3.7","2025",189,"Europe"
"United Kingdom","united-kingdom","3.7","2025",190,"Europe"
"Netherlands","netherlands","3.6","2025",191,"Europe"
"Croatia","croatia","3.4","2025",192,"Europe"
"Greece","greece","3.4","2025",193,"Europe"
"New Zealand","new-zealand","3.3","2025",194,"Australia and Oceania"
"Andorra","andorra","3.3","2025",195,"Europe"
"Guernsey","guernsey","3.2","2025",196,"Europe"
"Austria","austria","3.2","2025",197,"Europe"
"Ireland","ireland","3.2","2025",198,"Europe"
"France","france","3.1","2025",199,"Europe"
"Montenegro","montenegro","3.1","2025",200,"Europe"
"Luxembourg","luxembourg","3.1","2025",201,"Europe"
"Denmark","denmark","3.1","2025",202,"Europe"
"Australia","australia","3","2025",203,"Australia and Oceania"
"Switzerland","switzerland","3","2025",204,"Europe"
